sf_code,product_type,product_name
 JT839,DRY,Salted Plum 　1Kg
18001,FRZ,Yamatoimo Tororo
18003,FRZ,Nanban Yaki Tare
02a,FRZ,Trout Roe 500g (SMELLY)
02Aa,FRZ,Trout Roe 200g (SMELLY)
AFS01,FRZ,Beef Tongue
APC02,DRY,12OZ Smoothe double wall Kraft Coffee Cup (Sushi Break)
APC03,DRY,12OZ Smoothe double wall Kraft Coffee Cup (PLAIN)
AS12,FRZ,Frozen Fresh Cabbage Chop 5mm cut
AS14,FRZ,Frozen Steamed Sweet Potato Paste
AS2,FRZ,Frozen Shallots (White)
AS2?,FRZ,Frozen Shallot
AS7,FRZ,Frozen Blanched Pumpkin Slice
ASF01,FRZ,Frozen Salted Soybeans 400g
ASF03,FRZ,Frozen Boiled Edamame Jumbo Soybean (SLB)  500g
ASF05,FRZ,Frozen Boiled Edamame Jumbo Soybean (SLB)  500g
ASF06,FRZ,Frozen Boiled Soybeans Third Grade (SLB) 400g
ASF07,FRZ,Frozen Edamame Bean (MUKIMAME) 500g
BBC01a,DRY,8 oz / 225ml Round Container
BBC02a,DRY,16 oz / 450ml Round Container
BBC03a,DRY,Round Lids
BBC04a,DRY,1050ml Bowl
BBC05a,DRY,Bowl Lids
BBC06a,DRY,B500 (Rec) Freezer Grade
BBC07a,DRY,B1000 (Rec) Freezer Grade
BBC08a,DRY,Rectanglar Lid (B500/1000用) Freezer Grade
BBC10a,DRY,20oz/560ml Round Container
BBC11,DRY,500ml Rectangular Container Normal Grade
BBC12,DRY,1000ml Rectangular Container Normal Grade
BBC13,DRY,Rectangular Lid Normal Grade
BE02,FRZ,Chicken Thigh Katsu Skin Off 
BEC,FRZ,Born In belly for Gamushara
BEC02,DRY,BE Campbell Pork Strip Loin rindless MI Bone less -GJ
BEC03,FRZ,BE Campbell Pork Belly Rindless Bone less
Blue01Aa,DRY,Blue mountain water 600ml
Blue01Ab,DRY,Blue mountain water 600ml
Blue01Ac,DRY,Blue mountain water 600ml
BV,FRZ,Salmon For Shiosake
BV17,FRZ,Prawn Cutlet Banana 16/20
