sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
JT839,31/12/2019,,2,ctn,26/09/2018,DRY
02a,31/12/2019,,0.4,ctn,11/03/2018,FRZ
02a,31/12/2019,,1.2,ctn,18/02/2019,FRZ
02a,31/12/2019,,0.2,ctn,26/02/2019,FRZ
02a,31/12/2019,,0.2,ctn,11/03/2019,FRZ
02a,31/12/2019,,0.2,ctn,15/03/2019,FRZ
02Aa,31/12/2019,,0.166,ctn,1/03/2018,FRZ
02Aa,31/12/2019,,1.666,ctn,8/06/2019,FRZ
APC03,31/12/2019,,13,ctn,31/12/2099,DRY
AS12,31/12/2019,,2.9,ctn,22/06/2015,FRZ
AS14,31/12/2019,,3.3,ctn,28/06/2018,FRZ
AS2,31/12/2019,,10,ctn,5/06/2014,FRZ
AS2?,31/12/2019,,1.2,ctn,27/06/2016,FRZ
AS7,31/12/2019,,4.85,ctn,5/06/2014,FRZ
ASF01,31/12/2019,,63,ctn,20/10/2020,DRY
ASF01,31/12/2019,,9,ctn,20/10/2020,FRZ
ASF03,31/12/2019,,50,ctn,20/10/2020,DRY
ASF03,31/12/2019,,3,ctn,20/10/2020,FRZ
ASF06,31/12/2019,,21,ctn,20/10/2020,FRZ
ASF07,31/12/2019,,20,ctn,20/10/2020,FRZ
BBC01a,31/12/2019,,0.8,ctn,26/08/2020,DRY
BBC01a,31/12/2019,,9,ctn,31/12/2099,DRY
BBC02a,31/12/2019,,14,ctn,31/12/2099,DRY
BBC03a,31/12/2019,,14.2,ctn,31/12/2099,DRY
BBC06a,31/12/2019,,7,ctn,31/12/2099,DRY
BBC07a,31/12/2019,,7,ctn,31/12/2099,DRY
BBC08a,31/12/2019,,8,ctn,31/12/2099,DRY
BBC10a,31/12/2019,,1,ctn,31/12/2099,DRY
BBC11,31/12/2019,,3,ctn,31/12/2099,DRY
BBC12,31/12/2019,,2,ctn,31/12/2099,DRY
BBC13,31/12/2019,,5,ctn,31/12/2099,DRY
BEC02,31/12/2019,,20,ctn,8/09/2020,DRY
BEC02,31/12/2019,,11,ctn,27/10/2020,FRZ
BEC02,31/12/2019,,30,ctn,27/10/2020,DRY
BEC03,31/12/2019,,9.35,ctn,24/11/2020,FRZ
BEC03,31/12/2019,,30,ctn,24/11/2020,DRY
BV,31/12/2019,,1,ctn,26/02/2015,FRZ
BV17,31/12/2019,,2,ctn,14/07/2013,FRZ
BV36Aa,31/12/2019,,20,ctn,9/05/2020,FRZ
BV43,31/12/2019,,11,ctn,24/08/2018,FRZ
BV43,31/12/2019,,6,ctn,8/09/2018,FRZ
BV43,31/12/2019,,2,ctn,14/10/2018,FRZ
BV57,31/12/2019,,105,ctn,17/04/2019,DRY
BV58,31/12/2019,,42,ctn,17/04/2019,DRY
CCA01d,31/12/2019,,1,plt,31/12/2099,DRY
CDY01,31/12/2019,,11,ctn,16/10/2020,DRY
CDY02,31/12/2019,,176,ctn,16/10/2020,DRY
CDY02,31/12/2019,,16,ctn,19/10/2020,DRY
CDY03,31/12/2019,,3,ctn,16/10/2020,DRY
CDY07,31/12/2019,,240,ctn,21/05/2020,DRY
CDY08,31/12/2019,,11,ctn,8/08/2020,DRY
CDY08,31/12/2019,,54,ctn,28/10/2020,DRY
CDY10,31/12/2019,,5,ctn,10/09/2019,DRY
CDY11,31/12/2019,,12,ctn,22/08/2017,DRY
CDY11,31/12/2019,,4,pack,22/08/2017,DRY
CDY11,31/12/2019,,2,ctn,16/11/2017,DRY
CDY11,31/12/2019,,17,ctn,21/07/2020,DRY
CDY13,31/12/2019,,4,ctn,16/10/2020,DRY
CDY13,31/12/2019,,3,ctn,19/10/2020,DRY
CDY14,31/12/2019,,1,ctn,23/04/2018,DRY
CDY14,31/12/2019,,99,ctn,31/03/2021,DRY
CDY15,31/12/2019,,50,ctn,21/09/2020,DRY
CDY16,31/12/2019,,2,ctn,16/10/2020,DRY
CDY17,31/12/2019,,3.5,ctn,3/06/2020,DRY
CDY18,31/12/2019,,0.975,ctn,3/06/2020,DRY
CDY19,31/12/2019,,6,ctn,19/10/2020,DRY
CDY19,31/12/2019,,8,ctn,31/12/2099,DRY
CF5,31/12/2019,,8,ctn,30/11/2013,FRZ
CFS01,31/12/2019,,11,ctn,31/12/2099,DRY
CFS02,31/12/2019,,13,ctn,31/12/2099,DRY
CHA01,31/12/2019,,240,ctn,8/08/2021,DRY
CHA01,31/12/2019,,34,ctn,8/08/2021,FRZ
CHA04,31/12/2019,,30,ctn,6/08/2021,FRZ
CHA05,31/12/2019,,39,ctn,6/11/2020,DRY
CHA05,31/12/2019,,1,ctn,6/11/2020,FRZ
CHA10,31/12/2019,,34,ctn,19/01/2021,FRZ
CHA13,31/12/2019,,7,ctn,7/11/2020,FRZ
CHA14,31/12/2019,,11,ctn,7/11/2020,FRZ
CHA15,31/12/2019,,16,ctn,7/11/2020,FRZ
CHA16,31/12/2019,,6,ctn,7/11/2020,FRZ
CHA17,31/12/2019,,4,ctn,28/08/2020,DRY
CHA18,31/12/2019,,4,ctn,22/09/2020,DRY
CHA18,31/12/2019,,43,ctn,7/11/2020,FRZ
