sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
 JT839,2019-12-31,,2,ctn,2018-09-26,DRY
02a,2019-12-31,,0.4,ctn,2018-03-11,FRZ
02a,2019-12-31,,1.2,ctn,2019-02-18,FRZ
02a,2019-12-31,,0.2,ctn,2019-02-26,FRZ
02a,2019-12-31,,0.2,ctn,2019-03-11,FRZ
02a,2019-12-31,,0.2,ctn,2019-03-15,FRZ
02Aa,2019-12-31,,0.166,ctn,2018-03-01,FRZ
02Aa,2019-12-31,,1.666,ctn,2019-06-08,FRZ
AS12,2019-12-31,,2.9,ctn,2015-06-22,FRZ
AS14,2019-12-31,,3.3,ctn,2018-06-28,FRZ
AS2,2019-12-31,,10,ctn,2014-06-05,FRZ
AS2?,2019-12-31,,1.2,ctn,2016-06-27,FRZ
AS7,2019-12-31,,4.85,ctn,2014-06-05,FRZ
BV,2019-12-31,,1,ctn,2015-02-26,FRZ
BV17,2019-12-31,,2,ctn,2013-07-14,FRZ
BV43,2019-12-31,,11,ctn,2018-08-24,FRZ
BV43,2019-12-31,,6,ctn,2018-09-08,FRZ
BV43,2019-12-31,,2,ctn,2018-10-14,FRZ
BV57,2019-12-31,,105,ctn,2019-04-17,DRY
BV58,2019-12-31,,42,ctn,2019-04-17,DRY
CDY10,2019-12-31,,5,ctn,2019-09-10,DRY
CDY11,2019-12-31,,12,ctn,2017-08-22,DRY
CDY11,2019-12-31,,4,pack,2017-08-22,DRY
CDY11,2019-12-31,,2,ctn,2017-11-16,DRY
CDY14,2019-12-31,,1,ctn,2018-04-23,DRY
CF5,2019-12-31,,8,ctn,2013-11-30,FRZ
CLV03,2019-12-31,,4,ctn,2017-08-30,FRZ
CLV07,2019-12-31,,2,ctn,2019-12-01,FRZ
CLV09,2019-12-31,,38,ctn,2019-09-05,FRZ
COF07,2019-12-31,,0.05,ctn,2019-02-25,FRZ
COF10,2019-12-31,,0.6,ctn,2019-02-25,FRZ
COF14,2019-12-31,,0.8,ctn,2019-10-15,FRZ
COF17,2019-12-31,,3.55,ctn,2019-02-25,FRZ
