sf_code,usage_month,monthly_usage,unit,product_type
18001,1/05/2019,1,ctn,FRZ
18003,1/06/2019,2,ctn,FRZ
AFS01,1/05/2019,8,ctn,FRZ
APC02,1/05/2019,4,ctn,DRY
APC02,1/06/2019,4,ctn,DRY
APC02,1/07/2019,5,ctn,DRY
APC02,1/08/2019,3,ctn,DRY
APC02,1/09/2019,4,ctn,DRY
AS12,1/07/2019,2.9,ctn,FRZ
AS2,1/07/2019,10.7,ctn,FRZ
ASF01,1/05/2019,79,ctn,FRZ
ASF01,1/06/2019,68,ctn,FRZ
ASF01,1/07/2019,75,ctn,FRZ
ASF01,1/08/2019,75.1,ctn,FRZ
ASF01,1/09/2019,54,ctn,FRZ
ASF03,1/05/2019,2,pack,FRZ
ASF03,1/05/2019,10,ctn,FRZ
ASF03,1/06/2019,6,ctn,FRZ
ASF03,1/07/2019,7,ctn,FRZ
ASF03,1/08/2019,9,ctn,FRZ
ASF03,1/09/2019,7.2,ctn,FRZ
ASF05,1/07/2019,2,ctn,FRZ
ASF05,1/09/2019,22,ctn,FRZ
ASF06,1/09/2019,12,ctn,FRZ
ASF07,1/07/2019,3,ctn,FRZ
ASF07,1/08/2019,4,ctn,FRZ
ASF07,1/09/2019,3,ctn,FRZ
BBC01a,1/05/2019,5,ctn,DRY
BBC01a,1/06/2019,4,ctn,DRY
BBC01a,1/07/2019,4.3,ctn,DRY
BBC01a,1/08/2019,3,ctn,DRY
BBC01a,1/09/2019,3.2,ctn,DRY
BBC02a,1/05/2019,10,ctn,DRY
BBC02a,1/06/2019,11,ctn,DRY
BBC02a,1/07/2019,11,ctn,DRY
BBC02a,1/08/2019,11,ctn,DRY
BBC02a,1/09/2019,11,ctn,DRY
BBC03a,1/05/2019,20.2,ctn,DRY
BBC03a,1/06/2019,17,ctn,DRY
BBC03a,1/07/2019,17.5,ctn,DRY
BBC03a,1/08/2019,19,ctn,DRY
BBC03a,1/08/2019,2,pack,DRY
BBC03a,1/09/2019,18.4,ctn,DRY
BBC04a,1/05/2019,11,ctn,DRY
